shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
s3_shot_3w_22,shot_3w_22.json,108.89,5.62,-7.25,2500.8,-1.78,2499.6,-77.5,105.8,160.9,55.1,11.0,2.43,33.66,10.12,133261.1,0.114780,0.198752,0.187398,0.187398,105.8
s3_shot_3w_23,shot_3w_23.json,115.83,8.90,-0.78,2804.3,2.19,2802.2,107.3,147.8,147.6,-0.2,26.7,3.55,30.75,18.21,141755.6,0.120995,0.203281,0.178166,0.178525,147.8
s3_shot_3w_24,shot_3w_24.json,123.42,6.29,-5.42,2751.6,-13.27,2678.1,-631.8,148.2,200.5,52.3,20.5,3.32,32.61,14.69,151037.8,0.111429,0.212976,0.181723,0.182469,148.2
s3_shot_5i_10,shot_5i_10.json,87.96,14.22,1.21,4064.7,8.41,4021.0,594.4,103.0,106.1,3.1,32.4,3.48,22.81,33.13,107642.0,0.230959,0.245496,0.299292,0.305612,103.0
s3_shot_5i_11,shot_5i_11.json,90.59,14.45,-0.21,3360.4,7.80,3329.3,456.2,106.9,108.2,1.4,28.9,3.29,25.32,26.16,110866.8,0.185386,0.215219,0.216380,0.220232,106.9
s3_shot_5i_12,shot_5i_12.json,74.19,10.23,-1.67,3321.4,15.75,3196.7,901.5,58.7,57.5,-1.2,10.2,1.98,23.74,17.13,90789.2,0.223756,0.279231,0.292739,0.296187,58.7
s3_shot_5i_13,shot_5i_13.json,75.04,8.01,2.53,3921.4,3.42,3914.4,234.0,55.1,87.6,32.5,7.2,1.78,24.70,11.93,91830.0,0.261184,0.275684,0.294718,0.296527,55.1
s3_shot_5i_15,shot_5i_15.json,86.90,9.35,-4.02,2508.9,-4.94,2499.6,-216.2,74.0,121.1,47.1,11.0,2.08,28.46,13.15,106345.9,0.144296,0.216973,0.187102,0.187102,74.0
s3_shot_5i_16,shot_5i_16.json,97.99,9.13,-2.08,3775.9,1.68,3774.3,110.7,109.1,108.0,-1.1,19.2,2.98,27.60,17.38,119926.2,0.192576,0.217163,0.226500,0.227520,109.1
s3_shot_5i_17,shot_5i_17.json,56.46,9.97,24.15,5178.3,29.12,4523.9,2519.7,32.2,51.2,19.0,4.7,1.30,21.32,11.92,69096.2,0.458380,0.284917,0.371513,0.371514,32.2
s3_shot_6i_35,shot_6i_35.json,80.55,15.35,-1.30,4667.1,-0.03,4667.1,-2.8,85.2,85.3,0.0,23.2,2.93,22.80,25.47,98572.3,0.289590,0.251025,0.244371,0.270601,85.2
s3_shot_6i_36,shot_6i_36.json,78.86,10.40,16.08,4166.0,25.12,3771.9,1768.7,69.6,101.8,32.2,12.3,2.25,24.37,16.48,96505.8,0.264030,0.256293,0.293257,0.294638,69.6
s3_shot_6i_37,shot_6i_37.json,82.57,10.16,11.01,3041.1,25.35,2748.4,1301.8,67.6,108.9,41.3,10.9,2.02,26.89,14.26,101052.9,0.184068,0.236918,0.209958,0.210331,67.6
s3_shot_6i_38,shot_6i_38.json,79.12,13.35,3.04,3186.9,11.59,3121.9,640.2,75.3,75.5,0.2,17.9,2.51,23.82,23.27,96827.7,0.201308,0.252420,0.245502,0.253506,75.3
s3_shot_6i_39,shot_6i_39.json,60.98,6.14,10.35,3284.8,22.03,3044.9,1232.2,23.8,54.4,30.6,2.1,0.87,23.54,7.59,74625.7,0.269219,0.333765,0.292838,0.296020,23.8
s3_shot_6i_40,shot_6i_40.json,62.11,6.80,27.01,2768.0,30.00,2397.2,1384.0,25.3,59.6,34.3,2.6,0.91,23.83,8.78,76009.9,0.222738,0.325687,0.302726,0.302893,25.3
s3_shot_6i_41,shot_6i_41.json,82.53,9.88,-2.28,2620.2,13.56,2547.1,614.5,66.6,110.8,44.2,10.3,1.97,27.33,13.45,100996.8,0.158675,0.229767,0.192268,0.192274,66.6
s3_shot_6i_42,shot_6i_42.json,77.19,13.14,-3.42,4057.2,4.14,4046.6,293.2,75.6,75.5,-0.1,18.1,2.62,22.72,23.76,94471.3,0.262673,0.261989,0.295418,0.295418,75.6
s3_shot_6i_43,shot_6i_43.json,94.06,13.88,-4.68,4616.2,1.70,4614.2,137.0,119.9,124.5,4.6,40.2,3.97,22.99,36.36,115112.4,0.245275,0.236787,0.305379,0.305379,119.9
s3_shot_6i_44,shot_6i_44.json,114.96,9.46,-6.67,2314.5,15.10,2234.6,602.8,140.5,140.2,-0.3,25.2,3.33,31.66,17.41,140686.5,0.100621,0.199291,0.165322,0.165596,140.5
s3_shot_6i_45,shot_6i_45.json,109.32,6.42,-9.00,2509.9,-10.87,2464.9,-473.5,112.6,165.8,53.2,13.4,2.63,32.94,11.72,133784.2,0.114749,0.198894,0.187380,0.187385,112.6
s3_shot_6i_46,shot_6i_46.json,116.33,13.65,0.34,3007.9,10.67,2955.8,557.1,166.3,170.8,4.5,48.6,4.43,27.68,28.77,142368.0,0.129223,0.213385,0.178828,0.180417,166.3
s3_shot_6i_47,shot_6i_47.json,99.48,14.78,-2.86,4810.7,4.69,4794.6,393.7,134.2,141.8,7.5,52.9,4.48,23.26,42.06,121740.5,0.241695,0.233046,0.305545,0.305616,134.2
s3_shot_6i_48,shot_6i_48.json,101.73,15.23,-3.03,4631.0,4.26,4618.2,344.4,139.4,148.1,8.7,58.9,4.67,23.53,44.58,124502.8,0.227503,0.232422,0.295227,0.305616,139.4
s3_shot_6i_49,shot_6i_49.json,71.25,7.70,16.05,2624.7,30.00,2273.0,1312.3,38.3,78.6,40.3,4.3,1.23,26.40,9.49,87197.7,0.184102,0.260305,0.218652,0.218652,38.3
s3_shot_6i_50,shot_6i_50.json,82.80,14.85,-1.42,3783.4,2.81,3778.8,185.4,91.5,93.9,2.4,28.5,3.18,22.66,31.49,101335.6,0.228355,0.249757,0.299309,0.307622,91.5
s3_shot_7i_25,shot_7i_25.json,83.34,13.18,2.98,3409.5,17.79,3246.5,1041.7,85.5,85.8,0.3,20.6,2.77,24.18,24.01,101997.9,0.204455,0.241569,0.252849,0.260695,85.5
s3_shot_7i_26,shot_7i_26.json,73.37,10.85,15.40,3560.9,30.00,3083.8,1780.4,57.4,56.3,-1.1,10.4,1.96,23.51,17.22,89787.0,0.242568,0.282787,0.308696,0.308703,57.4
s3_shot_7i_27,shot_7i_27.json,93.74,17.06,-1.45,4611.6,2.63,4606.7,211.8,120.9,128.2,7.4,51.0,4.23,22.77,42.45,114719.5,0.245870,0.237119,0.305241,0.305241,120.9
s3_shot_7i_28,shot_7i_28.json,92.09,16.41,-3.60,4216.7,-0.44,4216.6,-32.4,115.9,123.7,7.8,46.2,4.03,22.81,40.54,112696.8,0.228852,0.239039,0.296925,0.305616,115.9
s3_shot_7i_29,shot_7i_29.json,107.59,13.82,-6.05,3633.3,4.72,3621.0,298.7,148.5,151.7,3.1,42.7,4.16,26.73,28.34,131669.7,0.168773,0.209903,0.195575,0.196825,148.5
s3_shot_7i_30,shot_7i_30.json,90.17,17.56,-3.83,4508.5,-0.21,4508.5,-16.5,112.4,119.5,7.1,46.2,4.00,22.46,40.91,110355.9,0.249879,0.241724,0.303518,0.303518,112.4
s3_shot_7i_31,shot_7i_31.json,76.36,17.52,-0.54,5122.2,1.84,5119.5,164.7,80.7,80.7,0.0,24.4,2.96,21.73,27.22,93445.7,0.335263,0.261959,0.228148,0.270680,80.7
s3_shot_7i_32,shot_7i_32.json,93.10,16.96,-1.03,3762.5,4.20,3752.4,275.6,120.5,128.7,8.1,45.7,4.00,24.18,38.13,113935.9,0.201982,0.217096,0.252014,0.273650,120.5
s3_shot_7i_33,shot_7i_33.json,92.36,16.96,-0.58,3851.7,2.81,3847.1,188.9,119.2,127.6,8.5,46.7,4.03,23.85,39.19,113026.5,0.208434,0.219885,0.267307,0.291353,119.2
s3_shot_7i_34,shot_7i_34.json,104.19,14.67,-4.63,4081.2,1.90,4079.0,135.0,142.8,150.6,7.7,49.4,4.38,24.71,37.16,127515.3,0.195758,0.223240,0.230490,0.253041,142.8
s3_shot_9i_1,shot_9i_1.json,88.98,15.10,-0.50,3563.2,11.26,3494.6,695.8,106.5,109.3,2.9,32.2,3.44,24.32,30.62,108898.1,0.200130,0.221857,0.247620,0.258441,106.5
s3_shot_9i_2,shot_9i_2.json,71.29,23.93,5.51,4085.5,8.31,4042.7,590.2,80.2,85.5,5.3,36.9,3.36,21.41,39.16,87241.3,0.286429,0.239815,0.279827,0.306940,80.2
s3_shot_9i_3,shot_9i_3.json,90.11,21.67,2.80,5243.0,11.20,5143.3,1018.1,115.4,122.2,6.8,52.2,4.22,22.54,42.22,110277.5,0.290796,0.234780,0.239909,0.268000,115.4
s3_shot_9i_5,shot_9i_5.json,84.02,19.37,3.82,5352.1,11.48,5245.0,1065.2,103.0,104.9,1.8,37.4,3.68,22.60,33.54,102827.9,0.318347,0.231816,0.230740,0.276040,103.0
s3_shot_9i_7,shot_9i_7.json,83.03,22.51,5.26,7008.5,9.70,6908.3,1181.2,103.4,105.5,2.0,47.9,4.12,21.13,39.90,101607.9,0.421882,0.266562,0.257201,0.314452,103.4
s3_shot_9i_8,shot_9i_8.json,92.21,21.95,-6.31,5042.3,0.73,5041.8,64.2,120.5,129.4,8.9,60.3,4.48,22.75,46.23,112846.1,0.273294,0.231927,0.273562,0.273562,120.5
s3_shot_9i_9,shot_9i_9.json,90.06,22.14,-3.09,5351.1,1.21,5349.9,113.3,116.4,123.4,7.0,53.8,4.29,22.44,43.01,110212.5,0.296965,0.234860,0.230887,0.268000,116.4
s3_shot_driver_51,shot_driver_51.json,116.17,21.74,2.17,6409.0,3.23,6398.8,360.7,163.5,178.8,15.3,97.2,5.78,23.95,55.45,142164.9,0.275733,0.256054,0.252605,0.252605,163.5
s3_shot_driver_52,shot_driver_52.json,102.11,31.33,3.09,8442.2,6.26,8391.8,921.1,128.2,142.4,14.2,112.7,5.94,23.38,60.84,124959.2,0.413216,0.263259,0.242592,0.290834,128.2
